tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***32822,20160814,210,PARK FAIL TO DISPLAY RECEIPT,30,2131,NR,2409 YONGE ST,NA,NA,ON
***83848,20160607,207,PARK MACHINE-REQD FEE NOT PAID,30,1915,OPP,219 FRONT ST E,NA,NA,ON
***38028,20180206,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1100,N/S,BISHOP AVE,E/O,YONGE ST,ON
***11487,20160922,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1850,NR,6 WASHINGTON AVE,NA,NA,ON
***99560,20180331,207,PARK MACHINE-REQD FEE NOT PAID,30,1205,NR,1430 QUEEN ST E,NA,NA,ON
***92155,20160314,3,PARK ON PRIVATE PROPERTY,30,201,NA,60 BATHURST ST,NA,NA,ON
***66355,20170415,207,PARK MACHINE-REQD FEE NOT PAID,30,1639,NR,335 LONSDALE RD,NA,NA,ON
***60444,20160912,3,PARK ON PRIVATE PROPERTY,30,1427,NA,700 LAWRENCE AVE W,NA,NA,ON
***24467,20170302,3,PARK ON PRIVATE PROPERTY,30,350,NA,35 ESTERBROOKE AVE,NA,NA,ON
***48621,20160107,3,PARK ON PRIVATE PROPERTY,30,1330,AT,1235 MILITARY TRL,NA,NA,ON
***80625,20170921,3,PARK ON PRIVATE PROPERTY,30,956,NR,155 CONSUMERS RD,NA,NA,ON
***78674,20160510,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1114,W/S,BALMUTO ST,S/O,BLOOR ST W,ON
***42130,20160504,2,PARK - LONGER THAN 3 HOURS ,15,1050,N/S,WABASH AVE,E/O,SORAUREN AVE,ON
***00246,20180309,3,PARK ON PRIVATE PROPERTY,30,1807,AT,9 BROADWAY AVE,NA,NA,ON
***45516,20180716,29,PARK PROHIBITED TIME NO PERMIT,30,646,NR,96 HOWARD PARK AVE,NA,NA,ON
***25608,20180110,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,708,NR,111 ST CLAIR AVE W,NA,NA,ON
***85020,20170731,207,PARK MACHINE-REQD FEE NOT PAID,30,937,NR,86 LOMBARD ST,NA,NA,ON
***25397,20160812,2,PARK - LONGER THAN 3 HOURS ,15,445,NR,21 BELLMAN AVE,NA,NA,ON
***33744,20171106,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,2148,NR,253 KING ST E,NA,NA,ON
***07603,20170722,29,PARK PROHIBITED TIME NO PERMIT,30,925,S/S,BIGGAR AVE,E/O,OAKWOOD AVE,ON
***71233,20181130,367,STND ONSTRT ACCESSIBLE NO PRMT,450,2035,NR,65 DUNCAN ST,NA,NA,ON
***73439,20160119,5,PARK-SIGNED HWY-PROHIBIT DY/TM,40,903,NR,523 PALMERSTON BLVD,NA,NA,ON
***61842,20181015,3,PARK ON PRIVATE PROPERTY,30,1353,NA,20 DE BOERS DR,NA,NA,ON
***97605,20170216,3,PARK ON PRIVATE PROPERTY,30,1753,AT,1265 MILITARY TRL,NA,NA,ON
***83153,20180324,29,PARK PROHIBITED TIME NO PERMIT,30,148,NR,10 CHAMBERLAIN AVE,NA,NA,ON
***62523,20180214,3,PARK ON PRIVATE PROPERTY,30,101,NA,3847 LAWRENCE AVE E,NA,NA,ON
***99837,20180925,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1044,NR,55 BLOOR ST W,NA,NA,ON
***05584,20170719,312,PARKING MACH-NOT USED/NO FEE,30,1909,NA,1155 KING ST W,NA,NA,ON
***72443,20171025,3,PARK ON PRIVATE PROPERTY,30,1613,AT,103 WEST LODGE AVE,NA,NA,ON
***19529,20160119,29,PARK PROHIBITED TIME NO PERMIT,30,915,NR,54 WOLSELEY ST,NA,NA,ON
***57232,20161229,8,STAND VEH.-PROHIBIT TIME/DAY,60,944,NR,111 RICHMOND ST W,NA,NA,ON
***39019,20170125,29,PARK PROHIBITED TIME NO PERMIT,30,1516,NR,20 DENISON SQ,NA,NA,ON
***74074,20160928,2,PARK - LONGER THAN 3 HOURS ,15,425,NR,185 BONIS AVE,NA,NA,ON
***84153,20180329,2,PARK - LONGER THAN 3 HOURS,15,335,N/S,BETH ST,E/O,DAWES RD,ON
***23601,20180912,312,PARKING MACH-NOT USED/NO FEE,30,1003,NA,34 HANNA AVE,NA,NA,ON
***74564,20180304,355,PARK IN ACCESSIBLE NO PERMIT,450,1758,AT,15 PROVOST DR,NA,NA,ON
***38559,20171016,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,914,NR,533 EUCLID AVE,NA,NA,ON
***83739,20160226,3,PARK ON PRIVATE PROPERTY,30,2144,NA,188 EGLINTON AVE E,NA,NA,ON
***78977,20160813,29,PARK PROHIBITED TIME NO PERMIT,30,156,NR,381 JONES AVE,NA,NA,ON
***76719,20180529,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1917,OPP,177 FRONT ST E,NA,NA,ON
***58399,20181031,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1623,NR,5150 YONGE ST,NA,NA,ON
***32323,20160620,207,PARK MACHINE-REQD FEE NOT PAID,30,2027,NR,15 SULLIVAN ST,NA,NA,ON
